pv parameters:
R = 10000
N = 256
Nw = 256
D = 1
I = 2
P = 1
Np = 0
synt = 0
-255=-0.026s (0)/-510=-0.051s (0)
-254=-0.025s (0.000702)/-508=-0.051s (0)
-253=-0.025s (0)/-506=-0.051s (2.41e-012)
-252=-0.025s (0)/-504=-0.050s (6.86e-006)
-251=-0.025s (0)/-502=-0.050s (3.92e-006)
-250=-0.025s (0.000702)/-500=-0.050s (2.8e-006)
-249=-0.025s (0.000702)/-498=-0.050s (2.91e-006)
-248=-0.025s (0.000702)/-496=-0.050s (-2.64e-006)
-247=-0.025s (0.000702)/-494=-0.049s (-8.94e-006)
-246=-0.025s (0.000702)/-492=-0.049s (-1.18e-005)
-245=-0.025s (0.000702)/-490=-0.049s (-1.08e-005)
-244=-0.024s (0)/-488=-0.049s (-7.65e-006)
-243=-0.024s (0)/-486=-0.049s (-3.64e-006)
-242=-0.024s (0)/-484=-0.048s (2.85e-006)
-241=-0.024s (0)/-482=-0.048s (4.05e-006)
-240=-0.024s (0.000702)/-480=-0.048s (3.89e-006)
-239=-0.024s (0)/-478=-0.048s (2.6e-006)
-238=-0.024s (0)/-476=-0.048s (6.73e-006)
-237=-0.024s (0)/-474=-0.047s (3.27e-006)
-236=-0.024s (0.000702)/-472=-0.047s (2.65e-006)
-235=-0.024s (0)/-470=-0.047s (1.88e-006)
-234=-0.023s (0)/-468=-0.047s (9.61e-006)
-233=-0.023s (0)/-466=-0.047s (2.29e-006)
-232=-0.023s (0.000702)/-464=-0.046s (7.08e-006)
-231=-0.023s (0)/-462=-0.046s (4.57e-006)
-230=-0.023s (0)/-460=-0.046s (1.24e-005)
-229=-0.023s (0)/-458=-0.046s (8.89e-006)
-228=-0.023s (0.000702)/-456=-0.046s (5.28e-006)
-227=-0.023s (0.000702)/-454=-0.045s (8.31e-006)
-226=-0.023s (0.000702)/-452=-0.045s (3.21e-006)
-225=-0.023s (0.000702)/-450=-0.045s (6.22e-006)
-224=-0.022s (0.000702)/-448=-0.045s (1.68e-006)
-223=-0.022s (0.000702)/-446=-0.045s (3.6e-006)
-222=-0.022s (0.00119)/-444=-0.044s (9.68e-007)
-221=-0.022s (0.00119)/-442=-0.044s (-6.05e-007)
-220=-0.022s (0.00119)/-440=-0.044s (-3.45e-007)
-219=-0.022s (0.00119)/-438=-0.044s (-7.39e-006)
-218=-0.022s (0.00119)/-436=-0.044s (-1.19e-007)
-217=-0.022s (0.000702)/-434=-0.043s (5.09e-007)
-216=-0.022s (0.000702)/-432=-0.043s (3.86e-006)
-215=-0.022s (0.000702)/-430=-0.043s (4.55e-006)
-214=-0.021s (0.000702)/-428=-0.043s (3.59e-006)
-213=-0.021s (0.000702)/-426=-0.043s (4.99e-006)
-212=-0.021s (0.000702)/-424=-0.042s (6.48e-006)
-211=-0.021s (0.000702)/-422=-0.042s (6.4e-006)
-210=-0.021s (0.000702)/-420=-0.042s (5.71e-006)
-209=-0.021s (0)/-418=-0.042s (5.57e-006)
-208=-0.021s (0)/-416=-0.042s (7.16e-006)
-207=-0.021s (0)/-414=-0.041s (8.36e-006)
-206=-0.021s (0.000702)/-412=-0.041s (9.42e-006)
-205=-0.021s (0.000702)/-410=-0.041s (8.97e-006)
-204=-0.020s (0.000702)/-408=-0.041s (8.8e-006)
-203=-0.020s (0.000702)/-406=-0.041s (9.89e-006)
-202=-0.020s (0.000702)/-404=-0.040s (1.25e-005)
-201=-0.020s (0.000702)/-402=-0.040s (1.32e-005)
-200=-0.020s (0.000702)/-400=-0.040s (1.34e-005)
-199=-0.020s (0.000702)/-398=-0.040s (1.56e-005)
-198=-0.020s (0.000702)/-396=-0.040s (1.47e-005)
-197=-0.020s (0.000702)/-394=-0.039s (1.48e-005)
-196=-0.020s (0.000702)/-392=-0.039s (1.7e-005)
-195=-0.020s (0.000702)/-390=-0.039s (1.84e-005)
-194=-0.019s (0.000702)/-388=-0.039s (2.09e-005)
-193=-0.019s (0.000702)/-386=-0.039s (1.95e-005)
-192=-0.019s (0.000702)/-384=-0.038s (1.91e-005)
-191=-0.019s (0.000702)/-382=-0.038s (2.13e-005)
-190=-0.019s (0.000702)/-380=-0.038s (2.43e-005)
-189=-0.019s (0.000702)/-378=-0.038s (2.27e-005)
-188=-0.019s (0.000702)/-376=-0.038s (2.52e-005)
-187=-0.019s (0.000702)/-374=-0.037s (2.47e-005)
-186=-0.019s (0.000702)/-372=-0.037s (2.84e-005)
-185=-0.019s (0.000702)/-370=-0.037s (2.71e-005)
-184=-0.018s (0.000702)/-368=-0.037s (2.9e-005)
-183=-0.018s (0.000702)/-366=-0.037s (3.19e-005)
-182=-0.018s (0.000702)/-364=-0.036s (3.54e-005)
-181=-0.018s (0.000702)/-362=-0.036s (3.29e-005)
-180=-0.018s (0.000702)/-360=-0.036s (3.17e-005)
-179=-0.018s (0.000702)/-358=-0.036s (3.53e-005)
-178=-0.018s (0.000702)/-356=-0.036s (3.86e-005)
-177=-0.018s (0)/-354=-0.035s (4.08e-005)
-176=-0.018s (0)/-352=-0.035s (4.85e-005)
-175=-0.018s (0)/-350=-0.035s (5.17e-005)
-174=-0.017s (0.000702)/-348=-0.035s (5.76e-005)
-173=-0.017s (0.000702)/-346=-0.035s (5.39e-005)
-172=-0.017s (0.000702)/-344=-0.034s (4.65e-005)
-171=-0.017s (0.000702)/-342=-0.034s (5.6e-005)
-170=-0.017s (0)/-340=-0.034s (5.55e-005)
-169=-0.017s (0)/-338=-0.034s (5.54e-005)
-168=-0.017s (0)/-336=-0.034s (6.05e-005)
-167=-0.017s (0.000702)/-334=-0.033s (6.24e-005)
-166=-0.017s (0.000702)/-332=-0.033s (6.15e-005)
-165=-0.017s (0.000702)/-330=-0.033s (5.98e-005)
-164=-0.016s (0.000702)/-328=-0.033s (6.77e-005)
-163=-0.016s (0.000702)/-326=-0.033s (6.11e-005)
-162=-0.016s (0.000702)/-324=-0.032s (5.21e-005)
-161=-0.016s (0.000702)/-322=-0.032s (6.48e-005)
-160=-0.016s (0.000702)/-320=-0.032s (6.57e-005)
-159=-0.016s (0.000702)/-318=-0.032s (6.72e-005)
-158=-0.016s (0.000702)/-316=-0.032s (7.16e-005)
-157=-0.016s (0.000702)/-314=-0.031s (5.87e-005)
-156=-0.016s (0.000702)/-312=-0.031s (5.9e-005)
-155=-0.016s (0.000702)/-310=-0.031s (9.51e-005)
-154=-0.015s (0.000702)/-308=-0.031s (8.4e-005)
-153=-0.015s (0.000702)/-306=-0.031s (8.33e-005)
-152=-0.015s (0.000702)/-304=-0.030s (7.55e-005)
-151=-0.015s (0.000702)/-302=-0.030s (7.7e-005)
-150=-0.015s (0.000702)/-300=-0.030s (8.41e-005)
-149=-0.015s (0.000702)/-298=-0.030s (9.73e-005)
-148=-0.015s (0.000702)/-296=-0.030s (0.000109)
-147=-0.015s (0.000702)/-294=-0.029s (0.000107)
-146=-0.015s (0.000702)/-292=-0.029s (9.22e-005)
-145=-0.015s (0.000702)/-290=-0.029s (0.000149)
-144=-0.014s (0.000702)/-288=-0.029s (0.000145)
-143=-0.014s (0.000702)/-286=-0.029s (0.000108)
-142=-0.014s (0.000702)/-284=-0.028s (7.26e-005)
-141=-0.014s (0.000702)/-282=-0.028s (0.000115)
-140=-0.014s (0.000702)/-280=-0.028s (0.000108)
-139=-0.014s (0.000702)/-278=-0.028s (0.000103)
-138=-0.014s (0.000702)/-276=-0.028s (0.000129)
-137=-0.014s (0.000702)/-274=-0.027s (0.000119)
-136=-0.014s (0)/-272=-0.027s (6.95e-005)
-135=-0.014s (0)/-270=-0.027s (0.000123)
-134=-0.013s (0)/-268=-0.027s (0.000117)
-133=-0.013s (0.000702)/-266=-0.027s (0.000141)
-132=-0.013s (0.000702)/-264=-0.026s (0.000113)
-131=-0.013s (0.000702)/-262=-0.026s (0.000157)
-130=-0.013s (0.000702)/-260=-0.026s (0.000109)
-129=-0.013s (0.000702)/-258=-0.026s (0.00015)
-128=-0.013s (0.000702)/-256=-0.026s (0.00015)
-127=-0.013s (0.00119)/-254=-0.025s (0.000251)
-126=-0.013s (0.00119)/-252=-0.025s (0.000224)
-125=-0.013s (0.00119)/-250=-0.025s (5.81e-005)
-124=-0.012s (0.00119)/-248=-0.025s (8.06e-005)
-123=-0.012s (0)/-246=-0.025s (9.63e-005)
-122=-0.012s (0)/-244=-0.024s (6.49e-005)
-121=-0.012s (0)/-242=-0.024s (0.000178)
-120=-0.012s (0)/-240=-0.024s (0.000412)
-119=-0.012s (0)/-238=-0.024s (0.000567)
-118=-0.012s (0.000702)/-236=-0.024s (0.000142)
-117=-0.012s (0.000702)/-234=-0.023s (0.000142)
-116=-0.012s (0.000702)/-232=-0.023s (4.64e-006)
-115=-0.012s (0.000702)/-230=-0.023s (0.000104)
-114=-0.011s (0.000702)/-228=-0.023s (0.000414)
-113=-0.011s (0.000702)/-226=-0.023s (0.000145)
-112=-0.011s (0.000702)/-224=-0.022s (0.000285)
-111=-0.011s (0.000702)/-222=-0.022s (-0.000154)
-110=-0.011s (0.000702)/-220=-0.022s (0.000181)
-109=-0.011s (0.000702)/-218=-0.022s (0.000201)
-108=-0.011s (0.000702)/-216=-0.022s (0.00071)
-107=-0.011s (0.000702)/-214=-0.021s (0.000537)
-106=-0.011s (0.000702)/-212=-0.021s (0.000675)
-105=-0.011s (0.000702)/-210=-0.021s (0.000983)
-104=-0.010s (0.000702)/-208=-0.021s (0.000464)
-103=-0.010s (0.000702)/-206=-0.021s (0.000293)
-102=-0.010s (0.00119)/-204=-0.020s (0.000255)
-101=-0.010s (0.00119)/-202=-0.020s (0.000414)
-100=-0.010s (0.00119)/-200=-0.020s (0.000112)
-99=-0.010s (0.00119)/-198=-0.020s (-9.1e-005)
-98=-0.010s (0)/-196=-0.020s (0.000171)
-97=-0.010s (0)/-194=-0.019s (0.000628)
-96=-0.010s (0)/-192=-0.019s (0.000448)
-95=-0.010s (0)/-190=-0.019s (0.000691)
-94=-0.009s (0.000702)/-188=-0.019s (0.000772)
-93=-0.009s (0.000702)/-186=-0.019s (0.000835)
-92=-0.009s (0.000702)/-184=-0.018s (0.000903)
-91=-0.009s (0.000702)/-182=-0.018s (0.00092)
-90=-0.009s (0.000702)/-180=-0.018s (0.00114)
-89=-0.009s (0.000702)/-178=-0.018s (0.000631)
-88=-0.009s (0.000702)/-176=-0.018s (0.000696)
-87=-0.009s (0.000702)/-174=-0.017s (0.000707)
-86=-0.009s (0.000702)/-172=-0.017s (0.000398)
-85=-0.009s (0.000702)/-170=-0.017s (0.000646)
-84=-0.008s (0.000702)/-168=-0.017s (0.000582)
-83=-0.008s (0.000702)/-166=-0.017s (0.000654)
-82=-0.008s (0.000702)/-164=-0.016s (0.000922)
-81=-0.008s (0.000702)/-162=-0.016s (0.000888)
-80=-0.008s (0.000702)/-160=-0.016s (0.000879)
-79=-0.008s (0.000702)/-158=-0.016s (0.000803)
-78=-0.008s (0.000702)/-156=-0.016s (0.000892)
-77=-0.008s (0.000702)/-154=-0.015s (0.000969)
-76=-0.008s (0.000702)/-152=-0.015s (0.000982)
-75=-0.008s (0.000702)/-150=-0.015s (0.00102)
-74=-0.007s (0.000702)/-148=-0.015s (0.00106)
-73=-0.007s (0.000702)/-146=-0.015s (0.000933)
-72=-0.007s (0.000702)/-144=-0.014s (0.000772)
-71=-0.007s (0.000702)/-142=-0.014s (0.000942)
-70=-0.007s (0.000702)/-140=-0.014s (0.000532)
-69=-0.007s (0.000702)/-138=-0.014s (0.000502)
-68=-0.007s (0)/-136=-0.014s (0.000659)
-67=-0.007s (0)/-134=-0.013s (0.000633)
-66=-0.007s (0)/-132=-0.013s (0.000447)
-65=-0.007s (0.000702)/-130=-0.013s (0.000657)
-64=-0.006s (0.000702)/-128=-0.013s (0.00105)
-63=-0.006s (0.000702)/-126=-0.013s (0.00105)
-62=-0.006s (0.00119)/-124=-0.012s (0.000612)
-61=-0.006s (0.00119)/-122=-0.012s (0.000852)
-60=-0.006s (0.00119)/-120=-0.012s (0.00128)
-59=-0.006s (0.00119)/-118=-0.012s (0.000956)
-58=-0.006s (0.000702)/-116=-0.012s (0.00103)
-57=-0.006s (0.000702)/-114=-0.011s (0.000806)
-56=-0.006s (0.00119)/-112=-0.011s (0.000752)
-55=-0.006s (0.00119)/-110=-0.011s (0.000814)
-54=-0.005s (0.00119)/-108=-0.011s (0.00114)
-53=-0.005s (0.00119)/-106=-0.011s (0.000965)
-52=-0.005s (0.000702)/-104=-0.010s (0.000896)
-51=-0.005s (0.000702)/-102=-0.010s (0.000733)
-50=-0.005s (0.000702)/-100=-0.010s (0.000821)
-49=-0.005s (0.000702)/-98=-0.010s (0.000601)
-48=-0.005s (0.000702)/-96=-0.010s (0.000948)
-47=-0.005s (0.000702)/-94=-0.009s (0.000976)
-46=-0.005s (0.000702)/-92=-0.009s (0.000971)
-45=-0.005s (0.000702)/-90=-0.009s (0.000981)
-44=-0.004s (0.000702)/-88=-0.009s (0.00134)
-43=-0.004s (0.000702)/-86=-0.009s (0.00101)
-42=-0.004s (0.000702)/-84=-0.008s (0.000583)
-41=-0.004s (0.000702)/-82=-0.008s (0.000841)
-40=-0.004s (0.000702)/-80=-0.008s (0.000797)
-39=-0.004s (0.000702)/-78=-0.008s (0.000664)
-38=-0.004s (0.000702)/-76=-0.008s (0.000665)
-37=-0.004s (0.000702)/-74=-0.007s (0.000959)
-36=-0.004s (0.000702)/-72=-0.007s (0.00103)
-35=-0.004s (0.000702)/-70=-0.007s (0.00108)
-34=-0.003s (0.00119)/-68=-0.007s (0.000823)
-33=-0.003s (0.00119)/-66=-0.007s (0.000812)
-32=-0.003s (0.00119)/-64=-0.006s (0.000843)
-31=-0.003s (0.000702)/-62=-0.006s (0.000739)
-30=-0.003s (0)/-60=-0.006s (0.000653)
-29=-0.003s (0)/-58=-0.006s (0.000748)
-28=-0.003s (0.000702)/-56=-0.006s (0.000815)
-27=-0.003s (0.000702)/-54=-0.005s (0.00115)
-26=-0.003s (0.000702)/-52=-0.005s (0.000883)
-25=-0.003s (0.000702)/-50=-0.005s (0.000832)
-24=-0.002s (0)/-48=-0.005s (0.00147)
-23=-0.002s (0)/-46=-0.005s (0.00119)
-22=-0.002s (0)/-44=-0.004s (0.000619)
-21=-0.002s (0.000702)/-42=-0.004s (0.00115)
-20=-0.002s (0.000702)/-40=-0.004s (0.00116)
-19=-0.002s (0.000702)/-38=-0.004s (0.001)
-18=-0.002s (0)/-36=-0.004s (0.000776)
-17=-0.002s (0)/-34=-0.003s (0.00123)
-16=-0.002s (0)/-32=-0.003s (0.00109)
-15=-0.002s (0)/-30=-0.003s (0.000992)
-14=-0.001s (0)/-28=-0.003s (0.000914)
-13=-0.001s (0.000702)/-26=-0.003s (0.000833)
-12=-0.001s (0)/-24=-0.002s (0.000754)
-11=-0.001s (0)/-22=-0.002s (0.000713)
-10=-0.001s (0.000702)/-20=-0.002s (0.00077)
-9=-0.001s (0.00119)/-18=-0.002s (0.00109)
-8=-0.001s (0)/-16=-0.002s (0.0012)
-7=-0.001s (0)/-14=-0.001s (0.00112)
-6=-0.001s (0.000702)/-12=-0.001s (0.000779)
-5=-0.001s (0.000702)/-10=-0.001s (0.000951)
-4=-0.000s (0.000702)/-8=-0.001s (0.00123)
-3=-0.000s (0.000702)/-6=-0.001s (0.00101)
-2=-0.000s (0.000702)/-4=-0.000s (0.000766)
-1=-0.000s (0.000702)/-2=-0.000s (0.0008)
0=0.000s (0.000702)/0=0.000s (0.00128)
1=0.000s (0.000702)/2=0.000s (0.00136)
2=0.000s (0.000702)/4=0.000s (0.00121)
3=0.000s (0.000702)/6=0.001s (0.00108)
4=0.000s (0.000702)/8=0.001s (0.000809)
