pv parameters:
R = 8000
N = 256
Nw = 256
D = 2
I = 1
P = 1
Np = 0
synt = 0
-254=-0.032s (-0.00174)/-127=-0.016s (0.000166)
-252=-0.032s (-0.00174)/-126=-0.016s (-9.98e-005)
-250=-0.031s (-0.00174)/-125=-0.016s (-6.07e-005)
-248=-0.031s (-0.00174)/-124=-0.016s (-0.000121)
-246=-0.031s (0)/-123=-0.015s (-0.000104)
-244=-0.031s (0)/-122=-0.015s (-0.000115)
-242=-0.030s (0)/-121=-0.015s (-0.000104)
-240=-0.030s (-0.00174)/-120=-0.015s (-0.000106)
-238=-0.030s (0)/-119=-0.015s (-0.000112)
-236=-0.030s (0.00217)/-118=-0.015s (-1.74e-005)
-234=-0.029s (0)/-117=-0.015s (-2.04e-005)
-232=-0.029s (-0.00174)/-116=-0.015s (-0.000143)
-230=-0.029s (-0.00174)/-115=-0.014s (-0.000132)
-228=-0.029s (0)/-114=-0.014s (-2.49e-005)
-226=-0.028s (0)/-113=-0.014s (-0.000105)
-224=-0.028s (0)/-112=-0.014s (-8.46e-005)
-222=-0.028s (-0.00223)/-111=-0.014s (1.53e-005)
-220=-0.028s (-0.00223)/-110=-0.014s (-7.73e-006)
-218=-0.027s (-0.00223)/-109=-0.014s (8.6e-006)
-216=-0.027s (-0.00223)/-108=-0.014s (7.46e-005)
-214=-0.027s (-0.00223)/-107=-0.013s (-0.000127)
-212=-0.027s (-0.00223)/-106=-0.013s (-0.000298)
-210=-0.026s (0)/-105=-0.013s (-0.000209)
-208=-0.026s (0)/-104=-0.013s (-0.000382)
-206=-0.026s (0)/-103=-0.013s (-0.000109)
-204=-0.026s (0)/-102=-0.013s (-0.000143)
-202=-0.025s (0)/-101=-0.013s (-6.43e-005)
-200=-0.025s (0)/-100=-0.013s (-0.000192)
-198=-0.025s (0)/-99=-0.012s (-0.000151)
-196=-0.025s (0.00363)/-98=-0.012s (-0.000195)
-194=-0.024s (0.00217)/-97=-0.012s (-0.000453)
-192=-0.024s (0)/-96=-0.012s (-0.000112)
-190=-0.024s (0)/-95=-0.012s (-0.000449)
-188=-0.024s (0)/-94=-0.012s (-0.000645)
-186=-0.023s (0)/-93=-0.012s (-0.000468)
-184=-0.023s (-0.00174)/-92=-0.012s (-0.000439)
-182=-0.023s (0.00217)/-91=-0.011s (-0.000676)
-180=-0.023s (-0.00174)/-90=-0.011s (-0.000525)
-178=-0.022s (0)/-89=-0.011s (-0.000517)
-176=-0.022s (-0.0032)/-88=-0.011s (-0.000681)
-174=-0.022s (-0.00418)/-87=-0.011s (-0.00036)
-172=-0.022s (-0.00418)/-86=-0.011s (-0.000354)
-170=-0.021s (-0.00418)/-85=-0.011s (-0.000474)
-168=-0.021s (0)/-84=-0.011s (-0.000214)
